Name,Address,Contributor,Tags,Business Hours,Tel,Mail,website,Description,Business Type,Latitude and Longitude;;;;;
"Zack Electronics,""1070 Hamilton Road Duarte, CA 91010"",Stanford,electronics,,,,,,retail,""34.13283,-117.983164""";;;;;
"Sundance Art Glass Center,""6052 Foster Rd., Paradise, CA 95969-3121, USA"",Stanford,""glass,"",,,,,,,""39.75539,-121.626242""";;;;;
"Aluminum REM Center,""3185 De La Cruz Blvd, Unit B, Santa Clara, CA 95054"",Stanford,""metal,"",,,,,,,""37.3807798,-121.9405728""";;;;;
"Oliveri and Sons,""1985 University Ave. Palo Alto, CA"",Stanford,""paint,"",,,,,,,""37.4736158,-122.1395727""";;;;;
"Laird Plastics,""1670 Las Plumas, Unit C San Jose, CA 95133"",Stanford,plastic,,,,,,,""37.3599625,-121.8662658""";;;;;
"McMaster-Carr,""P.O. Box 54960 Los Angeles, CA"",Stanford,smallparts,,,,,,,""34.0522342,-118.2436849""";;;;;
"Sharpe Products / Akron Fitting Company,""2550 South 170th Street New Berlin, WI 53151"",Stanford,smallparts,,,,,,,""42.997586,-88.123496""";;;;;
"Bruce Bauer Lumber & Supply,""134 San Antonio Circle Mountain View, CA"",Stanford,wood,,,,,,,""37.4082445,-122.1096773""";;;;;
"Certainly Wood,""13000 Route 78 East Aurora, NY 14052"",Stanford,wood,,,,,,,""42.753424,-78.50332""";;;;;
"Blick Art Materials,""811 University Avenue, Berkeley, CA 94710"",stanford,art,,,,,,,""37.86829,-122.298248""";;;;;
"Ceramics & Crafts Supply Co.,""490 5th Street (at Bryant St.) San Francisco, CA 94107"",stanford,art,,,,,,,""37.7778561,-122.4005924""";;;;;
"Douglas and Sturgess, Inc.,""730 Bryant St. (at 5th) San Francisco, CA 94107"",stanford,art,,,,,,,""37.7773231,-122.4008898""";;;;;
"Tech Shop (Menlo Park),""120 Independence Drive Menlo Park, CA 94025"",Andra Keay,""tool rental,art,electronics,metal,fabric,glass,ceramics,jewelry,hwgeneral,paint,wood,small parts,3dprinting,plastics,design,membership"",9:00 AM to Midnight 7 Days a Week,(650) 521-9027,info.mp@techshop.ws,http://www.techshop.ws/,""Fry's was founded as a Silicon Valley retail electronics store to provide a one-stop-shopping environment for the Hi-Tech Professional. Fry's continues to keep hi-tech professionals supplied with products representing the latest technological trends and advances in the personal computer marketplace. Fry's retails over 50,000 electronic items within each store, now totaling 34."",workspace,""37.483185,-122.178054""";;;;;
"Lemnos Labs,""85 Bluxome Street San Francisco, CA 94107"",Chris Fornof,incubator,,(415) 875-9155,,http://www.lemnoslabs.com/,""Lemnos Labs, a hardware incubator based in San Francisco, provides mentorship and resources to talented engineers with innovative ideas and a passion for making things."",incubator,""37.77620150000001,-122.3975118""";;;;;
"Sierra Circuits,""1108 West Evelyn Avenue Sunnyvale, CA 94086"",John Carlsen,""assembler,PCB"",,,,http://www.protoexpress.com/,,fabricator,""37.3843198,-122.0492756""";;;;;
"Standard Metal Products,""558 Bryant St. San Francisco, CA 94107"",Todd Huffman,""services,fabrication, machining, metal"",,415-546-6784,info@smpmachine.com,http://smpmachine.com/,""SMP provides prototype and production components and assemblies for Transportation, Bicycle builders, Biotech, Special effects, Medical devices, Water treatment, San Francisco's Fire Department, The Stanford Linear Accelerator, Anchor Steam, The Exploratorium, the California Academy of Sciences , NASA, Mythbusters, local artists, Arion Press, etc. On time precision machining and waterjet from the same location since 1993."",fabricator,""37.7803668,-122.3973179""";;;;;
"Harrison and Bonnini,""1011 25th Street San Francisco, CA"",Matthew Goodman,""mechanical,fasteners"",Mon. through Fri. 7:30AM - 4:00PM PST,866.442.2658,info@hbbolt.com,http://www.hbbolt.com/,""Our company sells a wide selection of standard bolts, nuts, washers and screws and we have increased our inventories in Hot Dip Galvanized Fasteners, Stainless Self-Drilling screws and “Unistrut” related products. The addition of strut products and accessories are in response to demands from the Solar and Commercial building trades."",retail,""37.75263330000001,-122.3890431""";;;;;
"Digi-Key,""701 Brooks Avenue South Thief River Falls, MN 56701"",John Carlsen,""distributor,electronics,catalog"",,,,http://www.digikey.com/,,distributor,""48.1089585,-96.1923071""";;;;;
"McMaster-Carr,""P.O. Box 54960 Los Angeles, CA"",John Carlsen,catalog,,,,http://www.mcmaster.com/,,distributor,""34.0522342,-118.2436849""";;;;;
"Sunstone Cricuits (PCBExpress),""13626 S. Freeman Road, Mulino, OR 97042"",John Carlsen,pcb,,,,http://pcbexpress.com/,,fabricator,""45.2282841,-122.5859427""";;;;;
"TAP Plastics (Fremont),5160 Mowry Avenue Fremont CA 94538,John Carlsen,""plastic,composites,mechanical,materials,fabrication"",,,,http://www.tapplastics.com/,,retail,""37.5360348,-121.9985538""";;;;;
"TAP Plastics (Mountain View),""312 Castro Street Mountain View, CA 94041"",John Carlsen,""plastic,composites,mechanical,materials,fabrication"",,,,http://www.tapplastics.com/,,retail,""37.3923321,-122.0800864""";;;;;
"Lab Pro,""1290 Anvilwood Court Sunnyvale, CA 94089"",John Carlsen,""tools,labware"",,,,http://www.labproinc.com/,,retail,""37.4089747,-121.9931448""";;;;;
"Intel Museum,""2200 Mission College Boulevard Santa Clara, CA 95054"",John Carlsen,museum,,408-765-0503,museum@intel.com,http://www.intel.com/content/www/us/en/company-overview/intel-museum.html,,museum,""37.3876836,-121.9638795""";;;;;
"Fotofab,""3758 West Belmont Avenue, Chicago, IL 60618"",John Carlsen,sheet metal,,,,http://www.fotofab.com/,,fabricator,""41.9392859,-87.72181210000001""";;;;;
"Jameco,""1355 Shoreway Road Belmont, CA 94002"",Stanford,electronics,,,,,,retail,""37.5223243,-122.2651323""";;;;;
"Britex Fabrics,""146 Geary Street San Francisco, CA 94108"",Stanford,""fabric,"",,,,,,retail,""37.7877283,-122.4058827""";;;;;
"Allied Iron Arts & Crafts,""620 Waltermire, Belmont, CA"",Stanford,""metal,"",,,,,,,""37.520361,-122.2734375""";;;;;
"Lusk Metals,""26587 Corporate Ave. Hayward, CA 94545"",Stanford,""metal,"",,,,,,,""37.623746,-122.112523""";;;;;
"Spectrum Powder Coating Company,""2694 Middlefield Road, Unit A Redwood City, CA 94063"",stanford,""metal,"",,,,,,,""37.4766857,-122.2114168""";;;;;
"California Paint and Wallpaper,""360 California Ave. Palo Alto, CA 94306"",Stanford,""paint,"",,,,,,,""37.4268591,-122.1443902""";;;;;
Industrial Plastic Supply,,Stanford,plastic,,,,,,,0;;;;;
"Plastics SRT,""1242 Birchwood Drive Sunnyvale, CA 94089"",Stanford,plastic,,,,,,,""37.4039907,-121.9925198""";;;;;
"Port Plastics,""1047 North Fair Oaks Avenue Sunnyvale, CA"",Stanford,plastic,,,,,,,""37.3983107,-122.0120128""";;;;;
"REN Plastics,""3001 S. Shannon Santa Ana, CA"",Stanford,plastic,,,,,,,""33.707287,-117.922809""";;;;;
"Tap Plastics,""312 Castro Street Mountain View, CA"",Stanford,plastic,,,,,,retail,""37.3923321,-122.0800864""";;;;;
"Applied Industrial Technologies,""990 Rengstorff Avenue Mountain View, CA 94043-1714"",Stanford,smallparts,,,,,,,""37.4186097,-122.0937686""";;;;;
MSC,,Stanford,smallparts,,,,,,,0;;;;;
"PIC,""6842 Van Nuys Blvd. Van Nuys, CA 91405"",Stanford,smallparts,,,,,,,""34.1951279,-118.447526""";;;;;
"Jasper Wood Products,""500 East 13th Street Jasper, IN 47547"",Stanford,wood,,,,,,,""38.39679,-86.9256319""";;;;;
"Northern Hardwoods,""520 Mathew Street Santa Clara, CA 95050"",Stanford,wood,,,,,,,""37.3634336,-121.9422195""";;;;;
"Tape-Ease,""13423 Zander Road Maribel, WI 54227"",Stanford,wood,,,,,,,""44.313425,-87.855811""";;;;;
"Woodcraft,""6044 Dougherty Road Dublin, CA 94568"",Stanford,wood,,,,,,,""37.7089941,-121.9103768""";;;;;
"Aerospace Composite Products,""14216 Doolittle Drive San Leandro, CA"",Stanford,miscellaneous,,,,,,,""37.6963316,-122.1744596""";;;;;
"American Science and Surplus,""3605 Howard Street Skokie, IL 60076"",Stanford,miscellaneous,,,,,,,""42.0190431,-87.7213883""";;;;;
"Barron Park Plumbing Supply,""377 San Antonio Mountain View, CA"",Stanford,miscellaneous,,,,,,,""37.405069,-122.110744""";;;;;
Casterland,,Stanford,miscellaneous,,,,,,,0;;;;;
"Herzog Engraving,""910 S. Amphlett Boulevard San Mateo, CA"",stanford,miscellaneous,,,,,,,""37.566517,-122.310099""";;;;;
"J. Carroll Corporation,""113 Cross Street San Luis Obispo, CA"",stanford,miscellaneous,,,,,,,""35.245653,-120.672262""";;;;;
"Kinko's (Palo Alto),""249 California Avenue Palo Alto, CA 94306"",stanford,miscellaneous,,,,,,,""37.4280187,-122.1434279""";;;;;
"Renaissance Stone,""751 Moorpark Street Oakland, CA 94603"",stanford,miscellaneous,,,,,,,""37.7317769,-122.1742562""";;;;;
"Arch,""99 Missouri, San Francisco, CA"",stanford,art,,,,,,,""37.76549929999999,-122.3966927""";;;;;
"The Claymaker,""1775 Russell Ave, Santa Clara, CA 95054"",stanford,art,,,,,,,""37.3867795,-121.9581649""";;;;;
"Tech Shop (SF),""926 Howard Street San Francisco, CA 94103"",Andra Keay,""toolrental,cowork,art,electronics,metal,fabric,glass,ceramics,jewelry,hwgeneral,paint,wood,small parts,3dprinting,plastics,membership"",9:00 AM to Midnight 7 Days a Week,(415) 263-9161,info.sf@techshop.ws,www.techshop.com,Tech Shop has classes as well as access to a range of equipment and resources,workspace,""37.7809055,-122.4056743""";;;;;
"Rock Health,""615 Grant Ave San Francisco, CA 94108"",Chris Fornof,incubator,,,,http://www.rockhealth.com,Incubator for Health related startups,incubator,""37.7927413,-122.4060677""";;;;;
"NIMBY Space,""8410 Amelia Street Oakland, CA 94621"",Mathilde Berchon,""makerspace,metal,wood,art,membership"",,510-633-0506,snook@nimbyspace.org,http://www.nimbyspace.org/,""NIMBY is a DIY space based in Oakland, CA, providing spaces and tools for artists, designers and makers. The space also organizes events. Membership based."",workspace,""37.7498264,-122.1871045""";;;;;
"Al Lasher's Electronics,""734 University Ave Berkeley, CA 94703"",Pat Tufts,electronics,,,,http://allashers.com/,Electronics (mostly analog) and electrical. Old school parts source. Family-owned local business since 1960. Similar to Electronics Plus in San Rafael.,retail,""37.8675245,-122.2997101""";;;;;
"Radio Shack (Palo Alto),""490 S. California Ave, Palo Alto, CA 94306"",Andra Keay,electronics,,,,http://www.radioshack.com/home/index.jsp,,retail,""37.4253045,-122.1457246""";;;;;
"Crucible,""1260 7th Street Oakland, CA 94607"",Chris Fornof,""art,hackerspace,makerspace,classes,membership"",,(510) 444-0919,info@thecrucible.org,http://thecrucible.org/,,workspace,""37.8045236,-122.2907552""";;;;;
"HackerDojo,""140A S. Whisman Rd. Mountain View, CA 94041"",""Chris Fornof, Lee Felsenstein"",""hackerspace,makerspace,coworking,membership"",,,info@hackerdojo.com,http://www.hackerdojo.com/,""Membership hackerspace, day visitors and guests allowed, mostly software and classes, hardware shop. Convenient to Google and Microsoft, Caltrain and Valley light rail."",workspace,""37.387115,-122.063711""";;;;;
"Stanford Photonics,""1032 Elwell Court, Suite 104 Palo Alto, CA 94303"",Todd Huffman,""services,optics,sensors"",,650.969.5991,info@stanfordphotonics.com,www.stanfordphotonics.com,""Stanford Photonics is in its second decade of providing leading-edge electronic imaging, digital microscope cameras and photonics technology for use in critical imaging technology applications requiring expertly designed devices and systems. Over the years, we continue to be the first to introduce advanced low light products to the industrial, military surveillance and life science markets. We enable research that has significant impact on the understanding of previously unknown biological processes and events occurring at the cellular level of life. We are also proud to provide some of the most compact, most cost effective, and highest performance night vision surveillance platforms to our armed forces and intelligence agencies."",fabricator,""37.4320914,-122.1034101""";;;;;
"Fabric Outlet,""2109 Mission St. San Francisco, California 94110"",Mathilde Berchon,fabric,Mon-Sat 10 am - 7 pm,(415) 552-4525,webmaster@fabricoutletsf.com,http://www.fabricoutletsf.com/,""Fabric Outlet sells fabric and trims, feathers and ribbons."",retail,""37.7631507,-122.4195116""";;;;;
"CK Tool Company,""1033 Wright Avenue Mountain View, CA 94043"",Todd Huffman,""services,fabrication"",,650-968-0261,,http://www.cktool.com/,""Founded in 1969, C. K. Tool Company, Inc., has served companies in the Bay Area for over 30 years. Our 5,400 square foot facility houses numerous state-of-the-art CNC machines to handle your work. Our experienced machinists can work closely with your engineers to help in the making of prototype parts. We can skillfully make your prototype and take it to the production level when you desire."",fabricator,""37.399617,-122.08244""";;;;;
"TAP Plastics (San Jose-Blossom Hill),""1008 Blossom Hill Rd San Jose, CA 95123"",John Carlsen,""plastic,composites,mechanical,materials,fabrication"",,,,http://www.tapplastics.com/,,retail,""37.250511,-121.8691741""";;;;;
"TAP Plastics (Santa Rosa),""2770 Santa Rosa Avenue Santa Rosa, CA 95407"",,""plastic,composites,mechanical,materials,fabrication"",,,,,,retail,""38.4097287,-122.7135131""";;;;;
"Mi-7,""1087 Mission St San Francisco, CA 94103"",Megan Klimen,coworking,,619-212-6574,Megan@3Scan.com,,,workspace,""37.7793939,-122.410525""";;;;;
"Exploratorium,""3601 Lyon Street San Francisco, CA 94123"",Mathilde Berchon,""museum,makerspace,art,hwgeneral"",Tuesday—Sunday 10 a.m. to 5 p.m. - First Thursdays (18+) 6 p.m. – 10 p.m.,(415) 561-0360,visit@exploratorium.edu,http://www.exploratorium.edu/,""The Exploratorium is a museum of science, art, and human perception located in San Francisco, California. They create tools and experiences that help you to become an active explorer: hundreds of explore-for-yourself exhibits"; film screenings; workshops for lifelong learners including day camps for kids and family investigations;" evening art and science events for adults—plus much more. They also create professional development programs for educators, and are at the forefront of changing the way science is taught."",museum,""37.803992,-122.448681""";;
"SparkTruck,""550 Panama Mall Stanford, CA 94305"",Mathilde Berchon,""makerspace,3Dprinting,laser cutting"",,,hello@sparktruck.org,http://sparktruck.org,""SparkTruck is an educational build-mobile! The truck is traveling across the USA with cool 21st-century shop tools, spreading the fun of hands-on learning and encouraging kids to find their inner maker."",,""37.4260938,-122.1718729""";;;;;
"Lawrence Hall of Science,""1 Centennial Drive Berkeley, CA 94720-5200 Berkeley, CA"",Pat Tufts,venuerental,10am - 5pm,510-642-5132,,http://www.lawrencehallofscience.org/,""UC Berkeley's public science center, providing parents, kids, and educators with opportunities to engage with science since 1968."",museum,""37.879329,-122.2463347""";;;;;
"Eddie's Quilting Bee & Fabric,""480 South Mathilda Avenue Sunnyvale, CA 94086"",Stanford,""fabric,"",,,,,,retail,""37.3726862,-122.0356599""";;;;;
"Palo Alto Glass,""4085 Transport St, Palo Alto, CA 94303"",Stanford,""glass,"",,,,,,,""37.4244384,-122.0983978""";;;;;
"Spectrum Glass,""PO Box 646, Woodinville, WA 98072"",Stanford,""glass,"",,,,,,,""47.7542651,-122.1634582""";;;;;
"Steinert Industries,""1507 Franklin Avenue, Kent, OH 44240"",Stanford,""glass,"",,,,,,,""41.137772,-81.360373""";;;;;
"West Coast Glass,""4020 Fabian Way #13, Palo Alto, CA"",Stanford,""glass,"",,,,,,,""37.420938,-122.103946""";;;;;
"US Foam,""630 Martin, Santa Clara, CA"",Stanford,""foam,"",Hours: Monday to Friday 7:30 am to 4 pm.,(408) 988-6700,,,""Ubiquitous pink foam. Sells sheets of pink extruded polystyrene foam for model making. 4"""" thick, 2x8' $50. Beware, though, they won't cut it for you, so plan to take it home with you in a large-ish vehicle."",,""37.365535,-121.94598""";;;;;
"Weird Stuff,""384 West Caribbean Drive, Sunnyvale, CA 94089"",""Stanford, John Carlsen"",""electronics,computers,surplus"",""Hours: Monday to Saturday 9:30am-6pm, Sunday 11am-5pm"",(408) 743-5650,,http://www.weirdstuff.com/,""Located a little ways down 101, Weird Stuff is like a cross between RA Enterprises and CompUSA. They have loads of old computer crap, monitor cables, software, more brushless fans than you've ever seen in one place, batteries, office junk, etc. So, if you've been meaning to replace that 5 1/4"""" drive on your Mac 2e, check this place out."",retail,""37.4175815,-122.0219661""";;;;;
"Wonder Magnet,,Stanford,""magnets,"",,,,http://www.wondermagnet.com/,""Primo source for super-strong, rare-earth magnets. Cheap prices. Accepts credit cards."",,0";;;;;
"Borrmann Steel,""2450 Pulgas Avenue, East Palo Alto, CA"",Stanford,""metal,"",,,,,,,""37.471177,-122.130581""";;;;;
"Dan-Mar,""907 American San Carlos, CA"",Stanford,""metal,"",,,,,,,""37.5000096,-122.245298""";;;;;
"Madco Welding,""1988 Old Middlefield Road Mountain View, CA"",Stanford,""metal,"",,,,,,,""37.414833,-122.091003""";;;;;
